,0,1,2,3
Unnamed: 0,Metals,Precious Metal,avg,sum
Jan 1992,46.9486729947083,28.0193924769963,37.4840327358523,74.9680654717046
Feb 1992,48.3194119676104,28.0532735562984,38.1863427619544,76.3726855239088
Mar 1992,48.2201211684637,27.3415813558455,37.7808512621546,75.5617025243092
Apr 1992,48.6286293693328,26.8936146731005,37.7611220212167,75.5222440424333
May 1992,48.6055678954222,26.8301294836678,37.717848689545,75.43569737909
Jun 1992,48.7254906580858,27.1341159778019,37.9298033179439,75.8596066358877
Jul 1992,50.821034809633,27.9733063584918,39.3971705840624,78.7943411681248
Aug 1992,50.4720968210021,27.1673576565952,38.8197272387986,77.6394544775973
Sep 1992,49.1303523061936,27.3323982027305,38.2313752544621,76.4627505089241
Oct 1992,45.9759172992119,27.3177119987035,36.6468146489577,73.2936292979154
Nov 1992,43.9141441567421,26.6231267466613,35.2686354517017,70.5372709034034
Dec 1992,44.7861884724527,26.6642613872418,35.7252249298473,71.4504498596945
Jan 1993,44.4130275447648,26.245302356792,35.3291649507784,70.6583299015568
Feb 1993,44.1896346783558,26.2593017237608,35.2244682010583,70.4489364021166
Mar 1993,43.0447493446889,26.2612303976011,34.652989871145,69.30597974229
Apr 1993,41.5034945553209,27.3092407422803,34.4063676488006,68.8127352976012
May 1993,40.2805397510531,29.2957446670423,34.7881422090477,69.5762844180954
Jun 1993,40.5569114265044,29.6545442650197,35.105727845762,70.2114556915241
Jul 1993,40.6040216373754,31.4515165950572,36.0277691162163,72.0555382324326
Aug 1993,39.9688483610159,30.3670549929848,35.1679516770004,70.3359033540007
Sep 1993,38.3822430672324,28.2730617221134,33.3276523946729,66.6553047893458
Oct 1993,37.0646290657579,28.9317696225533,32.9981993441556,65.9963986883112
Nov 1993,36.746247874838,29.8434224628148,33.2948351688264,66.5896703376528
Dec 1993,38.6649193507119,30.6521225069702,34.658520928841,69.3170418576821
Jan 1994,40.1504826624678,30.994491661911,35.5724871621894,71.1449743243788
Feb 1994,41.6946922744866,30.7474598647477,36.2210760696171,72.4421521392343
Mar 1994,41.7852778521726,30.9498792968515,36.3675785745121,72.7351571490241
Apr 1994,41.2117448075443,30.4386657447023,35.8252052761233,71.6504105522466
May 1994,44.1989877169446,30.7890689464167,37.4940283316807,74.9880566633613
Jun 1994,46.6767356553695,31.0859781520519,38.8813569037107,77.7627138074214
Jul 1994,47.9694284563748,31.1058262258832,39.537627341129,79.075254682258
Aug 1994,46.8555003903386,30.7751111871691,38.8153057887538,77.6306115775077
Sep 1994,49.4560921594427,31.6948365242139,40.5754643418283,81.1509286836566
Oct 1994,51.5660316559598,31.5226612143058,41.5443464351328,83.0886928702656
Nov 1994,56.1580877184413,31.0524579392292,43.6052728288353,87.2105456576705
Dec 1994,58.490421847791,30.5427751910759,44.5165985194335,89.0331970388669
Jan 1995,62.2571414074367,30.5003568377833,46.37874912261,92.75749824522
Feb 1995,58.1080607858476,30.3433714915564,44.225716138702,88.451432277404
Mar 1995,56.3609723813536,30.7182858116923,43.539629096523,87.0792581930459
Apr 1995,56.6658623042298,31.8132224564071,44.2395423803184,88.4790847606369
May 1995,54.9314804908552,31.3373398446823,43.1344101677687,86.2688203355375
Jun 1995,57.0801148218714,31.4332580986715,44.2566864602715,88.5133729205429
Jul 1995,59.4349862060612,31.2471003575749,45.341043281818,90.6820865636361
Aug 1995,59.8417228697047,31.087731704218,45.4647272869613,90.9294545739227
Sep 1995,57.0605028965984,31.0590726869149,44.0597877917566,88.1195755835133
Oct 1995,55.2762780050393,30.9353524733189,43.1058152391791,86.2116304783582
Nov 1995,57.0439525208566,31.090375191863,44.0671638563598,88.1343277127196
Dec 1995,56.1484557658466,31.1494563856914,43.648956075769,87.297912151538
Jan 1996,53.6675713283287,32.1492073346607,42.9083893314947,85.8167786629894
Feb 1996,54.3511610753924,32.5760225508756,43.463591813134,86.927183626268
Mar 1996,54.5664322198079,31.9228512313262,43.244641725567,86.4892834511341
Apr 1996,54.4759636483407,31.6248507087543,43.0504071785475,86.100814357095
May 1996,55.0094856001733,31.4951463934126,43.252315996793,86.5046319935859
Jun 1996,50.4179483807509,30.911626997798,40.6647876892744,81.3295753785489
Jul 1996,48.2161504266317,30.7748926011533,39.4955215138925,78.991043027785
Aug 1996,48.3060504294951,31.0739776870949,39.690014058295,79.38002811659
Sep 1996,47.5208674898508,30.6641012626044,39.0924843762276,78.1849687524552
Oct 1996,46.5164462006721,30.4557553639572,38.4861007823147,76.9722015646293
Nov 1996,49.0348306956123,30.2333508796727,39.6340907876425,79.268181575285
Dec 1996,49.185774385229,29.5169886385061,39.3513815118676,78.7027630237351
Jan 1997,51.6250094787741,28.5046345605303,40.0648220196522,80.1296440393044
Feb 1997,52.472329801668,28.0896945029338,40.2810121523009,80.5620243046018
Mar 1997,53.3768252269569,28.5952859630167,40.9860555949868,81.9721111899736
Apr 1997,51.6639548132139,27.9335516820887,39.7987532476513,79.5975064953026
May 1997,53.3108934246298,27.9968998624175,40.6538966435237,81.3077932870473
Jun 1997,52.8031495955835,28.069536864325,40.4363432299542,80.8726864599085
Jul 1997,52.0861446556642,26.6683964408145,39.3772705482394,78.7545410964787
Aug 1997,52.1442677585802,26.8422827615649,39.4932752600726,78.9865505201451
Sep 1997,50.0494214380674,26.8635708655023,38.4564961517848,76.9129923035697
Oct 1997,48.6699894852676,26.9777796840046,37.8238845846361,75.6477691692722
Nov 1997,47.3880039462242,25.5802836064525,36.4841437763383,72.9682875526767
Dec 1997,45.2823318391813,24.4267024754088,34.854517157295,69.7090343145901
